raw_hexCode,raw_timeStamp
8D8013FE9909EC8070045B69C8CB,0D31AC96648830
8D8013FE58BF110E73E475C72826,0D31D1572A1612
8D8013FEEA485858015C08D17172,0D31DCD07FBA30
8D8013FEE1043300000000E492F2,0D31F282BAB936
8D8013FE58BF110E71E4ABD8B19D,0D3216B48CD117
8D8013FEF8230003004AB8B2D55E,0D324486ADD318
8D8013FE58BF14C5AB6A18691824,0D32528883E21C
8D8013FE9909EC8090045B4C481D,0D32B0560A4526
8D8013FE58BF110E71E535D10E44,0D32CB15544323
8D8013FE9909EC8090045B4C481D,0D32F30885E220
8D8013FE58BF110E6FE566B29A70,0D330AC91F3A1F
8D8013FEEA485858015C08D17172,0D331C3857E222
8D8013FE9909EC8090045B4C481D,0D3333E9BF5A38
8D8013FE58BF14C5A96AD5898955,0D334E10725B1F
8D8013FE58BF14C5A96B0183D99B,0D3388F7E68C1B
8D8013FEEA485858015C08D17172,0D33B8160A623E
8D8013FE58BF14C5A96B367D28D7,0D33CD2BBCDB4D
8D8013FE9909EC8090045B4C481D,0D33EFBDE29C1C
8D8013FE58BF110E6DE62CB8CB65,0D340B620ED71D
8D8013FE9909EC8090045B4C481D,0D342F71AD941C
8D8013FE23594277CB5820982A25,0D344C4A80741F
8D8013FEEA485858015C08D17172,0D345A6F02CC18
8D8013FEE1043300000000E492F2,0D347308C7211C
8D8013FE9909EC8090045B4C481D,0D34AF258E841C
8D8013FEF8230003004AB8B2D55E,0D34C81B149420
8D8013FE58BF110E6BE6C56EF296,0D34CF4580751E
8D8013FE9909EC8098045B22EA15,0D34EE8D0E0D38
8D8013FEEA485858015C08D17172,0D34F83C9F7618
8D8013FE9909EC8098045B22EA15,0D352CC360191D
8D8013FEEA485858015C08D17172,0D35996469E51D
8D8013FE9909EC8098045B22EA15,0D35B26D247A15
8D8013FE58BF14C5A36CC2279E23,0D35D87F9E0E20
8D8013FEF8230003004AB8B2D55E,0D360867CEDA1F
8D8013FE58BF110E69E7C0849BAB,0D36179AD21822
8D8013FEEA485858015C08D17172,0D363889597D24
8D8013FE9909EC8098045B22EA15,0D363AC58EE725
8D8013FE58BF110E67E7F1381544,0D365584D8E422
8D8013FE9909EC8098045B22EA15,0D368225CC7921
8D8013FE58BF110E67E82299D4AE,0D3695D13A4C23
8D8013FE9909EB8090045B457C77,0D36A03F884237
8D8013FE9909EB8090045B457C77,0D36B9948D9A22
8D8013FE58BF110E67E84F642A2D,0D36D1F17CEC23
8D8013FEEA485858015C08D17172,0D36D643C1832D
8D8013FE9909EB8090045B457C77,0D36F5B4D02A26
8D8013FEE1043300000000E492F2,0D370C4B373128
8D8013FE9909EB8090045B457C77,0D371C13954D2F
8D8013FEEA485858015C08D17172,0D3727FF5BC117
8D8013FE9909EB8098045B2BDE7F,0D37360464E82D
8D8013FE58BF110E65E8A37A8EE5,0D373A2D50E711
8D8013FEF8230003004AB8B2D55E,0D3752D68B3A2F
8D8013FE9909EB8098045B2BDE7F,0D3754EC9AF433
8D8013FE58BF14C59F6DEAE9E94A,0D3760D860FB2F
8D8013FEEA485858015C08D17172,0D377437838E25
8D8013FE9909EB8090045B457C77,0D37760475C128
8D8013FE58BF110E65E8D487FCC9,0D37794884A318
8D8013FE9909EB8090045B457C77,0D379A49FD7119
8D8013FE9909EB8098045B2BDE7F,0D37B3EB4E4738
8D8013FE58BF14C59D6E32E4425C,0D37C05FA2C917
8D8013FEEA485858015C08D17172,0D37C56D789712
8D8013FE58BF110E63E9235F7C23,0D37E256062733
8D8013FE9909EB8098045B2BDE7F,0D37F64DBF7932
8D8013FEEA485858015C08D17172,0D3812D6CDB24C
8D8013FE23594277CB5820982A25,0D38153C4F3015
8D8013FE9909EB8098045B2BDE7F,0D381585745933
8D8013FE58BF110E63E954A20E0F,0D382209D11F28
8D8013FE9909EB8090045B457C77,0D382DA94C342A
8D8013FE58BF14C59D6E931D7125,0D38422667DE10
8D8013FEE1043300000000E492F2,0D384D79978535
8D8013FEEA485858015C08D17172,0D386387600426
8D8013FE58BF14C59B6EC332EB1B,0D3882BF14572D
8D8013FEF8230003004AB8B2D55E,0D38936F90B02A
8D8013FE58BF14C59B6EDB327BAF,0D389F5B570625
8D8013FE9909EB8090045B457C77,0D38A6CEB30525
8D8013FEEA485858015C08D17172,0D38B248085B2F
8D8013FE58BF110E61E9CF41D8EB,0D38C35ADC2A39
8D8013FE9909EB8090045B457C77,0D38CC94E16932
8D8013FE58BF110E61E9E3405101,0D38DCACC6C52B
8D8013FE9909EB8090045B457C77,0D38EA195FC02C
8D8013FEEA485858015C08D17172,0D39030B8C1615
8D8013FE58BF110E61EA00A8EB83,0D3903A422D415
8D8013FE9909EB8090045B457C77,0D390737AB3C2F
8D8013FE58BF14C59B6F3CC6E21B,0D391E2D6DA724
8D8013FE9909EB80B0045B00005E,0D3928000C9331
8D8013FE58BF110E5FEA2D8CF5D7,0D3939491FBA16
8D8013FE9909EB80B0045B00005E,0D3946EB75F517
8D8013FEEA485858015C08D17172,0D39536FD2F91D
8D8013FE58BF14C5996F6CDE2921,0D395E2DD00B28
8D8013FE23594277CB5820982A25,0D39608525AB27
8D8013FE9909EB80B0045B00005E,0D396A1941A92B
8D8013FE58BF14C5996F8524E954,0D3980A95D5C15
8D8013FE9909EB80B0045B00005E,0D3986EB8BDE12
