raw_hexCode,raw_timeStamp
8D800D6668AB017F14CEB27BE51D,1434D2B4CA5B32
8D800D669901382D08075B9E4E56,1434F979B0E514
8D800D6668AB0545BE5441EA0496,14350C2E39BF17
8D800D669901382D08075B9E4E56,143540DD9E8E10
8D800D6668AB117FA4CEEFC5AA82,143550FA075039
8D800D669901382D08075B9E4E56,14357A1D80FD2E
8D800D6668AB05464C547D740615,14358A70BD5F19
8D800D669901382D08075B9E4E56,1435C189C1C218
8D800D6668AB018028CF27FEF703,1435C481CF9C1E
8D800D66202473F6DB5C60457F44,1435D70345E41E
8D800D669901382D08065B9043D6,1436018EABD01B
8D800D6668AB0546DA54BA94EAAA,143608B6DD131F
8D800D669901382D08065B9043D6,143642C7D89A1C
8D800D669901382D08055B825556,143686F8809417
8D800D669901382D08075B9E4E56,1436C6FC594230
8D800D669901382D080A5BD819D6,143705D122A03E
8D800D669901382D080B5BD61456,143742DEBF371B
8D800D669901382D00075BF0EC5E,1437824733411C
8D800D6668AB05489255762261F1,14379131FE281D
8D800D669901382D00055BECF75E,1437C11D333B17
8D800D6668AB018278D02544397C,1437CD093F6311
8D800D669901382D08055B825556,1437F927F6D616
8D800D6668AB05492855B60A2F1C,14381730F3FC16
8D800D669901382D080B5BD61456,14384423BF971E
8D800D6668AB018314D068058C6B,143854D851A81D
8D800D669901382D08055B825556,14388693198918
8D800D6668AB01838CD09C59F220,1438C0A00CC716
8D800D669901382D08075B9E4E56,1438C860B1A010
8D800D6668AB0183D2D0B9B21863,1438F8B0865C2B
8D800D669901382D08075B9E4E56,1439BB25991530
8D800D6668AB018538D15311B832,143A349E82BE1B
8D800D669901382D080A5BD819D6,143A7B372C792F
8D800D6668AB0185D0D194A1CF68,143AB8D6236322
8D800D66202473F6DB5C60457F44,143AEBBFC3D445
8D800D6668AB054C6C571C293E52,143B0336D0031C
8D800D669901382D08095BCA0F56,143B07FC5F111F
8D800D6668AB01866CD1D70A6C77,143B45A139EB19
8D800D6668AB054CF857582A94BD,143B80E372901D
8D800D669901382D08095BCA0F56,143B90FD5D8016
8D800D6668AB0186F8D212E322D1,143BC0526F4515
8D800D669901382D080A5BD819D6,143BD79299F815
8D800D6668AB0551285923A58881,143F38B0EDC030
8D800D669901382D08055B825556,143F394E0D2434
8D800D6668AB018B36D3E4EE1E4B,143F7659262C13
8D800D669901382D08055B825556,143FB9EC767C35
8D800D6668AB018B86D4074CAE5D,143FC1E6D78735
8D800D66202473F6DB5C60457F44,143FD2038E1B2E
8D800D6668AB018BCAD424618CA1,143FF95D208436
8D800D6668AB05523C599935D1BF,14403073C75E17
8D800D6668AB018D30D4BDEC2F7A,14413382983034
8D800D669901382D00055BECF75E,1441741F671218
8D800D669901382D08075B9E4E56,1441EB3F94181E
8D800D6668AB018E0CD51CA6DD43,1441F563C8F11F
8D800D669901382D00075BF0EC5E,14422A166E2639
8D800D669901382D08075B9E4E56,1442A5F46F781D
8D800D669901382D08075B9E4E56,1442EABF92CF1F
8D800D6668A9F18F28D596040A0E,1442EEEB565817
8D800D669901382D00055BECF75E,144330B9619B20
8D800D6668AB018FB8D5D3336868,14436D2ADDEE21
8D800D669901382D00075BF0EC5E,144374EDD6CA22
8D800D669901382D00055BECF75E,1443B0C3CA8621
8D800D6668AB05567E5B6CED07D4,144401B76A7A1E
8D800D669901382D000B5BB8B65E,14443298E02823
