raw_hexCode,raw_timeStamp
8D800CEB5885335CBB7122F6E542,188785E161512A
8D800CEB9909A910506C4444F1B6,189FE3C58E692F
8D800CEB58A5A37A61A184CBD4C9,18D04B8C531742
8D800CEB9909A70FF060527D5A10,18D134D7963133
8D800CEB58A5E738B72186C5C336,18D14069FCEF35
8D800CEBE11817000000008FCA69,18D14D4A70D73E
8D800CEB9909A70FF060527D5A10,18D156B2A5A232
8D800CEB58A5F738C5219EFC978B,18D16254381E2F
8D800CEBEA408858011C08A5EE58,18D181FE267315
8D800CEB9909A70FF0605182B202,18D18E71DD7115
8D800CEB58A7537B79A354B7DC7E,18D30A175BC817
8D800CEB9909A60FF060527E50DE,18D327C51FDB13
8D800CEB58A767397722C50F944C,18D329B86AA537
8D800CEB58A7637B95A38361EFD8,18D350A2A36D49
8D800CEB9909A60FF060527E50DE,18D36918781C1B
8D800CEB9909A60FF060527E50DE,18D389E9FF4B1C
8D800CEB58A7737BB1A3B0DDA76F,18D395547C4715
8D800CEBEA408858011C08A5EE58,18D3A98ABB931E
8D800CEB9909A50FF0605384BB85,18D3A9EA375D17
8D800CEB58A78739AD231D1447F4,18D3B07D126618
8D800CEBF82300030048787C301B,18D3C5881C0C18
8D800CEB58A7837BCBA3DC51B2AD,18D3D6E82A1313
8D800CEBE11817000000008FCA69,18D3D6FF544F10
8D800CEB58A79739C9234C20A9DA,18D3F7A9463511
8D800CEBEA408858011C08A5EE58,18D3F8C63C9617
8D800CEB9909A50FF060527B4F8C,18D42E60723136
8D800CEBEA408858011C08A5EE58,18D49698364D13
8D800CEB58A7B37C1BA4604242A9,18D49E9242472D
8D800CEB9909A50FF0605384BB85,18D4B2DE58B413
8D800CEB58A7C37C29A478520406,18D4C419153F35
8D800CEB9909A50FF0605384BB85,18D4D37C67FB3E
8D800CEBEA408858011C08A5EE58,18D4E52F297432
8D800CEBF82300030048787C301B,18D503935D022A
8D800CEB9909A40FF0605387B14B,18D51959768D42
8D800CEB58A7D73A3924064F16FE,18D519B7660938
8D800CEBEA408858011C08A5EE58,18D53187068133
8D800CEB9909A40FF0605387B14B,18D538A617B43A
8D800CEB58A7E37C5BA4C7C3B2CF,18D539DC666D15
8D800CEBF82300030048787C301B,18D5A52A138430
8D800CEB9909A4101060536E149E,18D5EFB3A7A73B
