06A2C7,8F06A2C7397CD68824798532C462,11EEF6BACD03E7,1,17,192.168.30.27
800C11,8D800C11E1103200000000AF1191,11EF01B9BB2134,2,17,192.168.101.3
7BD01B,8D7BD01B58AF80A2E637395C44D8,11EF02670A223E,2,17,192.168.101.3
06A2C7,8F06A2C7E100BB00000000B6AFD4,11EEF7ED2C0BE6,1,17,192.168.30.27
800DAA,8D800DAA990D329770403A34D2EB,11EF035949642E,2,17,192.168.101.3
702C0A,8D702C0A9910970130188262985B,11EF03A9983B68,2,17,192.168.101.3
800C74,8D800C749909522FD004462BBF0D,11EEF97A36CE18,1,17,192.168.30.27
7BD023,8F7BD023E10000000000009C8D04,11EF04A96BEEE0,2,17,192.168.101.3
800602,8D8006029940000018080073EF06,11EEFA59A6C12F,1,17,192.168.30.27
484416,8D48441658C906022F2737E8D8F8,11EEFA67B0EF15,1,17,192.168.30.27
4BA893,8C4BA89325508676D34E60C77353,11EF05F5673CDF,2,17,192.168.101.3
800DAA,8D800DAA58BD01666CF3C15AEDCD,11EF0652A8C524,2,17,192.168.101.3
7020A2,8D7020A2580D47ADEA99896675EF,11EEFB55E41FAF,1,17,192.168.30.27
7BD023,8F7BD023381F668AF478C9CDA0C9,11EF07A20B2BE8,2,17,192.168.101.3
80139F,8D80139F588FB77399E94B3FB478,11EF0096AFED38,1,17,192.168.30.27
702075,8D70207599158509A0A02B1820D1,11EF094AD7B427,2,17,192.168.101.3
702C09,8D702C0999147F8A98280ACE0574,11EF0F31629E29,1,17,192.168.30.27
800C74,8D800C7458BF02DE0D0878361CC2,11EF0A17140120,2,17,192.168.101.3
8013E6,8D8013E65815E3EDDF63D764F617,11EF0A2A373C5B,2,17,192.168.101.3
800C3C,8D800C3C58B980A282275BC47565,11EF0B707D4C1D,2,17,192.168.101.3
800C0B,8D800C0B9911A28E68B02463BA90,11EF0BE6685F35,2,17,192.168.101.3
702099,8D70209999041B9F30040E9BE594,11EF1149C4F264,1,17,192.168.30.27
8013E6,8D8013E6E1032E0000000013ECF7,11EF1228E37A43,1,17,192.168.30.27
800C74,8D800C74EA485858011C0874AB44,11EF126AAAC51C,1,17,192.168.30.27
801410,8D8014109921C12430043EB08C32,11EF0D1850903B,2,17,192.168.101.3
8013E6,8D8013E69918121C5840810B1767,11EF12D4389F62,1,17,192.168.30.27
