Icao,Message,Timestamp,Receiver,df,Receiver IP
80139F,5D80139F846B2A,122C8FD9D7BD41,1,11,192.168.30.27
80139F,5D80139F846B2A,122C9050881344,1,11,192.168.30.27
8005F0,5D8005F0BD7CB2,122C9054ACEE34,1,11,192.168.30.27
80139F,5D80139F846B2A,122C913D42DC44,1,11,192.168.30.27
70209E,5D70209E4FD16C,122C96C7A48321,2,11,192.168.101.3
80139F,5D80139F846B2A,122C91B3A1795E,1,11,192.168.30.27
80139F,5D80139F846B2A,122C9741EB1046,2,11,192.168.101.3
80139F,5D80139F846B2A,122C922AF5A145,1,11,192.168.30.27
8005F0,5D8005F0BD7CB2,122C92A51F3032,1,11,192.168.30.27
80139F,5D80139F846B2A,122C97B945DF40,2,11,192.168.101.3
800C11,5D800C1139AD6E,122C97CBE25656,2,11,192.168.101.3
80139F,5D80139F846B2A,122C9317A26F45,1,11,192.168.30.27
70209E,5D70209E4FD16C,122C998E9F8F19,2,11,192.168.101.3
80139F,5D80139F846B2A,122C947AA60A3F,1,11,192.168.30.27
70209E,5D70209E4FD16C,122C9AF2496D1C,2,11,192.168.101.3
70209E,5D70209E4FD16D,122C9AF2497C42,2,11,192.168.101.3
70209E,5D70209E4FD16C,122C9B6904811B,2,11,192.168.101.3
70209E,5D70209E4FD129,122C952BFBFD23,1,11,192.168.30.27
800C11,5D800C1139AD6E,122C95FFCBBF5B,1,11,192.168.30.27
70209E,5D70209E4FD16C,122C9DB9945E40,2,11,192.168.101.3
80139F,5D80139F846B2A,122C96547DA142,1,11,192.168.30.27
800C71,5D800C713BEFBB,122CA10B8F9538,2,11,192.168.101.3
800C74,5D800C74C42381,122CA498259B28,1,11,192.168.30.27
485785,5D485785CE0725,122CA19B1EED24,2,11,192.168.101.3
8005F0,5D8005F0BD7CF9,122CA74FB56335,1,11,192.168.30.27
485785,5D485785CE072B,122CA84279942A,1,11,192.168.30.27
8005F0,5D8005F0BD7CF9,122CA9793A6F2C,1,11,192.168.30.27
80139F,5D80139F846B6F,122CAA46087D32,1,11,192.168.30.27
485785,5D485785CE072B,122CAAA6695721,1,11,192.168.30.27
8005F0,5D8005F0BD7CF9,122CAAA8CF6A36,1,11,192.168.30.27
702C0A,5D702C0A005507,122CAAEEFCEE50,1,11,192.168.30.27
800602,5D800602AAD2A4,122CADECD0333D,1,11,192.168.30.27
800C11,5D800C1139AD6E,122CB4E55CAF4E,1,11,192.168.30.27
70206C,5D70206C4A69FA,122CB4FADE1D72,1,11,192.168.30.27
702099,5D702099B0010D,122CB432108958,2,11,192.168.101.3
800DAA,5D800DAACE1F3E,122CB43C488141,2,11,192.168.101.3
702C09,5D702C09FFBD50,122CB5C30B9948,1,11,192.168.30.27
702C09,5D702C09FFBD50,122CB6AF56FE37,1,11,192.168.30.27
800BB1,5D800BB1154A9E,122CB6BE278929,1,11,192.168.30.27
80139F,5D80139F846B61,122CB723BF5942,1,11,192.168.30.27
702C09,5D702C09FFBD50,122CB726497E40,1,11,192.168.30.27
702C09,5D702C09FFBD50,122CB79C97FE43,1,11,192.168.30.27
702085,5D702085B0A98F,122CB7C0FBCA3C,1,11,192.168.30.27
702C09,5D702C09FFBD50,122CBA63EAFE3D,2,11,192.168.101.3
80139F,5D80139F846B61,122CBA6A0A2142,2,11,192.168.101.3
80139F,5D80139F846B61,122CB815FF372D,1,11,192.168.30.27
800C11,5D800C1139AD60,122CBAB2552652,2,11,192.168.101.3
702C09,5D702C09FFBD50,122CB889F4D341,1,11,192.168.30.27
801410,5D80141056ED67,122CB8CCDFDE3C,1,11,192.168.30.27
7BD01B,5D7BD01B94C12C,122CC0046B782B,2,11,192.168.101.3
702085,5D702085B0A98F,122CC010A1043F,2,11,192.168.101.3
702C09,5D702C09FFBD50,122CC02D138D3F,2,11,192.168.101.3
800C11,5D800C1139AD60,122CB90B1CE954,1,11,192.168.30.27
702C09,5D702C09FFBD15,122CB9354E8C45,1,11,192.168.30.27
702C09,5D702C09FFBD50,122CB9ED822041,1,11,192.168.30.27
702C09,5D702C09FFBD50,122CC119A8FB45,2,11,192.168.101.3
7BD01B,5D7BD01B94C12C,122CC132975D26,2,11,192.168.101.3
7BD01B,5D7BD01B94C167,122CC562812730,1,11,192.168.30.27
7BD01B,5D7BD01B94C12C,122CC23104AA29,2,11,192.168.101.3
7BD01B,5D7BD01B94C167,122CC6C5A67428,1,11,192.168.30.27
7BD01B,5D7BD01B94C122,122CCA2E92973E,1,11,192.168.30.27
7705C5,5D7705C59A78AE,122CCA56CC811C,1,11,192.168.30.27
7705C5,5D7705C59A78AE,122CCB079B0417,1,11,192.168.30.27
680002,5D680002C5DD7C,122CCBAD8BBB34,1,11,192.168.30.27
7705C5,5D7705C59A78AE,122CCBB8515C3C,1,11,192.168.30.27
702097,5D702097B0554C,122CCD7646F28E,1,11,192.168.30.27
7BD01B,5D7BD01B94C122,122CD222657D16,2,11,192.168.101.3
70209E,5D70209E4FD127,122CD494EE9E25,2,11,192.168.101.3
70206D,5D70206DB59DF3,122CD49A2361E2,2,11,192.168.101.3
70209E,5D70209E4FD127,122CD59774FD22,2,11,192.168.101.3
70209E,5D70209E4FD127,122CD6BAA35923,2,11,192.168.101.3
70209E,5D70209E4FD127,122CD7B51FDC28,1,11,192.168.30.27
800DAA,5D800DAACE1F38,122CD753795353,2,11,192.168.101.3
8005F0,5D8005F0BD7CF8,122CDC1D505439,2,11,192.168.101.3
8005F0,5D8005F0BD7CF8,122CDD7ED4E031,2,11,192.168.101.3
